time,open,high,low,close,VIDYA 55,VIDYA 233,Lower BB,Upper BB,Midline BB,Lower BB2,Upper BB2,Lower BB3,Upper BB3,Trend Line,Short Kalman,Long Kalman,Title (Open),Title (High,Title (Low),Title (Close),PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),ParabolicSAR,Previous Value,MOM-LRC Upper,MOM-LRC Lower,Upper Band (1.5 Dev),Lower Band (1.5 Dev)
2026-03-06T15:00:00Z,47034.00,47527.00,47032.00,47357.00,48602.58,48951.05,47026.93,48637.20,47832.06,46758.55,48905.57,46490.17,49173.95,47172.28,47439.71,47753.35,47034.00,47527.00,47032.00,47357.00,47034.00,47527.00,47032.00,47357.00,48547.84,47.82,63.44,32.19,59.54,36.10
2026-03-06T19:00:00Z,47356.00,47551.00,47341.00,47431.00,48560.74,48938.06,46986.92,48613.61,47800.26,46715.80,48884.72,46444.69,49155.84,47172.82,47435.67,47683.90,47356.00,47551.00,47341.00,47431.00,47356.00,47551.00,47341.00,47431.00,48453.41,47.69,63.26,32.12,59.37,36.02
2026-03-08T22:00:00Z,47035.00,47093.00,46356.00,46359.00,48482.10,48916.02,46947.12,48589.96,47768.54,46673.31,48863.77,46399.51,49137.57,47171.67,46936.82,47398.43,47035.00,47093.00,46356.00,46359.00,47035.00,47093.00,46356.00,46359.00,48364.65,47.56,63.07,32.06,59.19,35.93
2026-03-09T02:00:00Z,46361.00,46697.00,46293.00,46678.00,48417.67,48896.89,46908.09,48566.69,47737.39,46631.65,48843.12,46355.22,49119.55,47170.42,46816.90,47243.21,46361.00,46697.00,46293.00,46678.00,46361.00,46697.00,46293.00,46678.00,48203.96,47.41,62.85,31.98,58.99,35.83
2026-03-09T06:00:00Z,46679.00,47124.00,46561.00,47000.00,48367.04,48880.68,46869.85,48543.73,47706.79,46590.87,48822.71,46311.89,49101.69,47169.87,46901.74,47190.81,46679.00,47124.00,46561.00,47000.00,46679.00,47124.00,46561.00,47000.00,48012.86,47.24,62.60,31.89,58.76,35.73
2026-03-09T10:00:00Z,46999.00,47081.00,46694.00,46788.00,48310.65,48862.79,46832.19,48520.82,47676.51,46550.75,48802.26,46269.32,49083.70,47169.23,46849.04,47104.02,46999.00,47081.00,46694.00,46788.00,46999.00,47081.00,46694.00,46788.00,47840.87,47.08,62.35,31.82,58.53,35.64
2026-03-09T14:00:00Z,46777.00,47267.00,46602.00,47024.00,48264.69,48847.07,46795.12,48497.92,47646.52,46511.32,48781.72,46227.53,49065.52,47168.81,46930.10,47086.78,46777.00,47267.00,46602.00,47024.00,46777.00,47267.00,46602.00,47024.00,47686.09,46.92,62.08,31.77,58.29,35.56
2026-03-09T18:00:00Z,47026.00,47879.00,47023.00,47690.00,48244.17,48837.18,46758.61,48474.96,47616.78,46472.55,48761.02,46186.49,49047.08,47169.55,47282.18,47216.75,47026.00,47879.00,47023.00,47690.00,47026.00,47879.00,47023.00,47690.00,46293.00,46.78,61.80,31.75,58.05,35.51
2026-03-09T22:00:00Z,47711.00,47719.00,47486.00,47671.00,48223.70,48827.22,46722.27,48451.57,47586.92,46434.06,48739.78,46145.84,49028.00,47170.47,47462.33,47314.62,47711.00,47719.00,47486.00,47671.00,47711.00,47719.00,47486.00,47671.00,46324.72,46.66,61.55,31.78,57.83,35.50
2026-03-10T02:00:00Z,47670.00,47678.00,47460.00,47641.00,48202.89,48817.08,46686.06,48427.67,47556.86,46395.79,48717.94,46105.52,49008.21,47171.32,47545.11,47384.94,47670.00,47678.00,47460.00,47641.00,47670.00,47678.00,47460.00,47641.00,46355.81,46.58,61.33,31.83,57.64,35.52
2026-03-10T06:00:00Z,47640.00,47947.00,47618.00,47891.00,48191.75,48809.16,46649.91,48403.24,47526.58,46357.69,48695.46,46065.47,48987.69,47172.63,47705.37,47493.98,47640.00,47947.00,47618.00,47891.00,47640.00,47947.00,47618.00,47891.00,46386.27,46.53,61.17,31.89,57.51,35.55
2026-03-10T10:00:00Z,47892.00,47922.00,47450.00,47484.00,48166.47,48797.84,46613.99,48378.41,47496.20,46319.92,48672.48,46025.85,48966.55,47173.54,47602.80,47491.83,47892.00,47922.00,47450.00,47484.00,47892.00,47922.00,47450.00,47484.00,46448.70,46.51,61.09,31.93,57.44,35.57
2026-03-10T14:00:00Z,47485.00,48220.00,47431.00,48113.00,48164.56,48791.98,46578.52,48353.40,47465.96,46282.71,48649.21,45986.90,48945.02,47175.05,47839.19,47625.66,47485.00,48220.00,47431.00,48113.00,47485.00,48220.00,47431.00,48113.00,46508.63,46.50,61.06,31.94,57.42,35.58
2026-03-10T18:00:00Z,48113.00,48127.00,47653.00,47720.00,48148.69,48782.82,46543.31,48327.97,47435.64,46245.87,48625.41,45948.43,48922.85,47176.38,47783.97,47645.99,48113.00,48127.00,47653.00,47720.00,48113.00,48127.00,47653.00,47720.00,46611.31,46.52,61.08,31.95,57.44,35.59
2026-03-10T22:00:00Z,47740.00,47905.00,47651.00,47883.00,48139.20,48775.13,46508.37,48302.12,47405.25,46209.41,48601.08,45910.45,48900.04,47177.67,47829.85,47697.06,47740.00,47905.00,47651.00,47883.00,47740.00,47905.00,47651.00,47883.00,46707.83,46.55,61.12,31.98,57.48,35.62
2026-03-11T02:00:00Z,47882.00,47930.00,47809.00,47813.00,48127.55,48766.91,46473.71,48275.86,47374.79,46173.35,48576.22,45872.99,48876.58,47179.03,47822.04,47722.04,47882.00,47930.00,47809.00,47813.00,47882.00,47930.00,47809.00,47813.00,46798.56,46.59,61.15,32.03,57.51,35.67
